Address,Parcel ID,Contractor Name,Price,Primary Funding Source,Demolition Date,Commercial Building,Council_District,Neighborhood,Latitude,Longitude,Location
20442 Roselawn,16030554.,Brown Environmental Construction,8700.00,Non-HHF,09/23/2014,No,2,Garden Homes,42.444111,-83.15318,"location
(42.444111, -83.15318)"
20465 Monica,16021510.,"Adamo Group, Inc.",22499.00,HHF,08/05/2015,No,2,Garden Homes,42.444581,-83.145387,"location
(42.444581, -83.145387)"
3976 Concord,15010841.,Homrich,21600.00,HHF,07/16/2015,No,5,Gratiot-Grand,42.366578,-83.018278,"location
(42.366578, -83.018278)"
3968 Concord,15010840.,Able Demolition,16544.00,HHF,02/08/2016,No,5,Gratiot-Grand,42.366504,-83.018229,"location
(42.366504, -83.018229)"
4156 Canton,15010082.,Homrich,21900.00,HHF,07/20/2015,No,5,Gratiot-Grand,42.368025,-83.018053,"location
(42.368025, -83.018053)"
4110 Canton,15010075.,Homrich,22000.00,HHF,07/17/2015,No,5,Gratiot-Grand,42.367486,-83.017694,"location
(42.367486, -83.017694)"
4159 Helen,15009713.,Homrich,16800.00,HHF,07/07/2015,No,5,Gratiot-Grand,42.368198,-83.017668,"location
(42.368198, -83.017668)"
3984 Canton,15010072.,Able Demolition,16104.45,Non-HHF,02/11/2015,No,5,Gratiot-Grand,42.367067,-83.017416,"location
(42.367067, -83.017416)"
3974 Canton,15010070.,Homrich,14500.00,HHF,07/16/2015,No,5,Gratiot-Grand,42.366919,-83.017318,"location
(42.366919, -83.017318)"
4843 Chalmers,21055985.,Homrich,15700.00,HHF,07/24/2015,No,4,Fox Creek,42.394366,-82.95852,"location
(42.394366, -82.95852)"
4652 Chalmers,21055389.,Homrich,19500.00,HHF,07/23/2015,No,4,Fox Creek,42.392953,-82.956869,"location
(42.392953, -82.956869)"
4225 Chalmers,21056029.,Homrich,18400.00,HHF,07/23/2015,No,4,Fox Creek,42.389948,-82.955662,"location
(42.389948, -82.955662)"
4314 Chalmers,21055365.,Homrich,16200.00,HHF,07/23/2015,No,4,Fox Creek,42.390728,-82.95541,"location
(42.390728, -82.95541)"
4170 Chalmers,21055353.,Homrich,16600.00,HHF,07/22/2015,No,4,Fox Creek,42.389495,-82.95457,"location
(42.389495, -82.95457)"
3133 Lakewood,21054847.,Able Demolition,20460.00,HHF,02/10/2016,No,4,Riverbend,42.385297,-82.954178,"location
(42.385297, -82.954178)"
3083 Lakewood,21054853.,Homrich,22000.00,HHF,07/24/2015,No,4,Riverbend,42.384707,-82.953784,"location
(42.384707, -82.953784)"
2983 Lakewood,21054866.,Homrich,15400.00,HHF,07/28/2015,No,4,Riverbend,42.383428,-82.95293,"location
(42.383428, -82.95293)"
3011 Chalmers,21056085.,Homrich,18500.00,HHF,07/22/2015,No,4,Riverbend,42.384208,-82.951809,"location
(42.384208, -82.951809)"
3054 Chalmers,21055314.,Homrich,20800.00,HHF,07/22/2015,No,4,Riverbend,42.384984,-82.951655,"location
(42.384984, -82.951655)"
