Code,Name,Address,City,State,Zip,Elementary (K-5) Student Count,Middle (6-8) Student Count,High School (9-12) Student Count,ISD Code,ISD Name,District Code,District Name,Entity Type,Entity County,Chartering Agency Code,Chartering Agency Authorizer,Charter Management Organization,Entity Authorized Grades,Entity Actual Grades,elementary,middle,high,location
7135,Douglass Academy for Young Men,2001 West Warren Ave,Detroit,MI,48208,0,40,124,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"6,7,8,9,10,11,12","6,7,8,9,10,11,12",0,1,1,"location
(42.3491700000001, -83.08325)"
7326,Foreign Language Immersion and Cultural Studies,6501 West Outer Dr,Detroit,MI,48235,499,186,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.41923, -83.19095)"
7425,"Martin Luther King, Jr. Education Center Academy",16827 Appoline St,Detroit,MI,48235,320,97,0,82,Wayne RESA,82910,"Martin Luther King, Jr. Education Center Academy",PSA School,Wayne,82015,Detroit Public Schools Community District,Self-managed,"KG,KG-Part,1,2,3,4,5,6,7,8","KG,KG-Part,1,2,3,4,5,6,7,8",1,1,0,"location
(42.4145600000001, -83.17135)"
7500,Clippert Academy,1981 Mckinstry St,Detroit,MI,48209,29,480,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"5,6,7,8","5,6,7,8",1,1,0,"location
(42.3205300000001, -83.09815)"
7581,Garvey Academy,2301 Van Dyke St,Detroit,MI,48214,226,122,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.3593000000001, -83.00165)"
7633,"Robeson Academy, Malcolm X Academy",2585 Grove Street,Detroit,MI,48221,193,133,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.4137900000001, -83.12731)"
7654,Communication and Media Arts HS,14771 Mansfield St,Detroit,MI,48227,0,0,557,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"9,10,11,12","9,10,11,12",0,0,1,"location
(42.3983200000001, -83.2058)"
7793,Academy of The Americas,5680 Konkel St,Detroit,MI,48210,547,299,78,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG,1,2,3,4,5,6,7,8,9,10,11","KG,1,2,3,4,5,6,7,8,9,10,11",1,1,0,"location
(42.3270600000001, -83.11072)"
7794,Detroit School of Arts,123 Selden St,Detroit,MI,48201,0,0,392,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"9,10,11,12","9,10,11,12",0,0,1,"location
(42.34858, -83.06101)"
8255,Plymouth Educational Center,1460 East Forest Ave,Detroit,MI,48207,321,170,0,82,Wayne RESA,82904,Plymouth Educational Center Charter School,PSA School,Wayne,5017,Central Michigan University,"Midwest Management Group, Inc.","KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.3602700000001, -83.04666)"
8347,Cesar Chavez Academy Elementary,8126 West Vernor Hwy,Detroit,MI,48209,462,0,0,82,Wayne RESA,82918,Cesar Chavez Academy,PSA School,Wayne,4884,Saginaw Valley State University,Leona Group,"KG,1,2","KG,1,2",1,0,0,"location
(42.31104, -83.12936)"
8456,Detroit Community Schools - High School,12675 Burt Rd,Detroit,MI,48223,0,0,362,82,Wayne RESA,82925,Detroit Community Schools,PSA School,Wayne,7838,Bay Mills Community College,Self-managed,"9,10,11,12","9,10,11,12",0,0,1,"location
(42.3804000000001, -83.24745)"
